scene,cluster,N_points,dx,dy,dz,x_mean,y_mean,z_mean,intensity_mean,intensity_std,is_cone,odom_timestamp,odom_x,odom_y,odom_z,odom_yaw,odom_vx,odom_vy,odom_yawrate,x_global,y_global
13,1,9,0.06350422,0.15983915,0.2202388,10.445327,-6.778776,0.3513796,8.666667,6.8007355,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-21.936638017134676,1.7576818428594994
13,4,5,0.13807797,0.09585571,0.24664855,3.01047,-20.699886,-0.1281297,3.6,1.8165902,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-6.319060269939232,4.030492339327413
13,5,5,0.1175125,0.054553986,0.22990091,-0.055764418,-17.482254,-0.06616479,15.0,9.273619,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-7.090463296014722,-0.346708428847764
13,6,7,0.15745759,0.05785656,0.22742414,-0.32936415,-12.458725,0.014591697,10.428572,6.996598,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-10.972324794432392,-3.5469977492520943
13,7,5,0.107363045,0.07025337,0.18763982,-0.9973353,-15.904486,-0.03301656,16.8,10.449881,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-7.802083537181961,-2.0406695323018376
13,8,6,0.105201244,0.055826187,0.18506315,-2.1637545,-15.3062525,-0.02655535,14.0,8.074652,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-7.591751599346853,-3.3345696623649808
13,12,6,0.118392944,0.120874405,0.23357198,-5.950501,-11.301341,-0.087219425,5.8333335,2.136976,True,1690471373.066141,-21.19753731870723,-10.672539006050991,0.0,2.2058420448478637,13.44490242233841,-0.020188406818121,0.0171324587681774,-8.569531632444358,-8.75884024788801
14,7,7,0.08675575,0.08433914,0.25982514,11.431645,-8.483714,0.10131295,17.571428,9.795528,True,1690471373.686351,-23.238845767522495,-17.92215921517128,0.0,2.5165714457903543,9.313203305250024,-0.5827862814348129,-0.9382360279538242,-27.545402570801997,-4.353464394373371
14,10,6,0.11764431,0.091267586,0.28525904,9.201535,-12.349389,-0.01739001,4.5,3.2093613,True,1690471373.686351,-23.238845767522495,-17.92215921517128,0.0,2.5165714457903543,9.313203305250024,-0.5827862814348129,-0.9382360279538242,-23.47503089655195,-2.523462139951853
15,14,5,0.07565212,0.092309,0.20003375,15.137189,-6.6947527,0.025243348,13.0,7.3484693,True,1690471374.236688,-14.896439195054317,-28.773862101639047,0.0,3.091446638984074,11.251242508217032,-0.6115133024124851,-1.0606265060538609,-29.679025537932578,-21.328773415046566
15,15,5,0.055419922,0.13338757,0.24212402,17.885199,-9.022219,0.037316598,8.6,4.5055523,True,1690471374.236688,-14.896439195054317,-28.773862101639047,0.0,3.091446638984074,11.251242508217032,-0.6115133024124851,-1.0606265060538609,-32.30691690732579,-18.86648884814445
15,21,5,0.119724035,0.064661026,0.20835538,0.6930849,-17.008692,-0.09318588,14.4,12.381437,True,1690471374.236688,-14.896439195054317,-28.773862101639047,0.0,3.091446638984074,11.251242508217032,-0.6115133024124851,-1.0606265060538609,-14.736092152932066,-11.751809961677935
16,3,7,0.14420223,0.13480473,0.2592389,9.206317,-11.319358,0.10397383,6.428571,5.533448,True,1690471374.766423,-4.003457068100464,-33.79294271670126,0.0,-2.645659797318034,14.120740767172672,-0.040680499936592,-0.5708891208388645,-17.48698764845356,-28.21812959648495
16,4,5,0.107008934,0.10403347,0.21337126,10.426755,-15.347898,0.07706281,10.6,9.071935,True,1690471374.766423,-4.003457068100464,-33.79294271670126,0.0,-2.645659797318034,14.120740767172672,-0.040680499936592,-0.5708891208388645,-20.477383753842624,-25.255675448938035
16,5,6,0.13500261,0.06680584,0.20134577,7.7401137,-14.28094,0.032341663,9.166667,4.833908,True,1690471374.766423,-4.003457068100464,-33.79294271670126,0.0,-2.645659797318034,14.120740767172672,-0.040680499936592,-0.5708891208388645,-17.606700602929862,-24.91564736819281
16,6,6,0.11733484,0.108860016,0.18761528,3.909807,-14.633695,0.01757785,12.833333,6.047038,True,1690471374.766423,-4.003457068100464,-33.79294271670126,0.0,-2.645659797318034,14.120740767172672,-0.040680499936592,-0.5708891208388645,-14.40570866017876,-22.782730096348352
18,12,6,0.17981482,0.13355923,0.1780877,-4.5443954,-13.7284355,-0.1633468,14.666667,17.00196,True,1690471375.886738,-10.537059674327606,-35.68559754424206,0.0,-2.3681176220738234,14.83751843639964,-0.2156245859745856,-0.3232208783886764,-16.876641848587752,-22.688245172123942
18,15,5,0.1474104,0.14161015,0.20441782,-8.152452,-15.065924,-0.21947095,7.4,5.1283526,True,1690471375.886738,-10.537059674327606,-35.68559754424206,0.0,-2.3681176220738234,14.83751843639964,-0.2156245859745856,-0.3232208783886764,-15.22952732498938,-19.21060780422787
20,18,7,0.15227461,0.088401794,0.24966638,6.84749,-12.395724,0.15025833,14.571428,11.501553,True,1690471377.026683,-2.0707049078432247,-39.90497451205787,0.0,-1.798508740273561,8.90587821715229,-0.4375808330408647,-0.6297668335076998,-15.692255831226761,-43.777369536580174
22,7,6,0.13156605,0.08803177,0.20170423,6.406227,-16.358091,0.02166222,12.833333,8.280499,True,1690471378.150297,29.510813176502356,-20.50460978413599,0.0,-0.5895286298522796,8.755588384422119,-0.6056402397644869,-0.8960985824748805,25.74109116118629,-37.66316687577547
22,8,6,0.08336115,0.080872536,0.25388855,3.7508829,-13.622688,0.0109199835,8.833333,5.3447795,True,1690471378.150297,29.510813176502356,-20.50460978413599,0.0,-0.5895286298522796,8.755588384422119,-0.6056402397644869,-0.8960985824748805,25.054761645149714,-33.91320238831284
22,13,5,0.14864969,0.12916565,0.18264599,-6.563394,-13.681679,-0.21786079,6.2,4.7644515,True,1690471378.150297,29.510813176502356,-20.50460978413599,0.0,-0.5895286298522796,8.755588384422119,-0.6056402397644869,-0.8960985824748805,16.44870822234211,-28.227814768129313
23,7,8,0.11897373,0.091814995,0.21772198,9.220016,-8.513611,0.17725018,22.5,20.59126,True,1690471378.75667,31.55886154005743,-1.032153319059696,0.0,0.0156399035484836,6.930292523522593,-0.8111031408975572,-1.2766702701690402,40.91089655138254,-9.400528815326947
23,8,6,0.19611359,0.1563034,0.23305881,13.886846,-14.195056,0.15552399,9.0,6.752777,True,1690471378.75667,31.55886154005743,-1.032153319059696,0.0,0.0156399035484836,6.930292523522593,-0.8111031408975572,-1.2766702701690402,45.66600942369591,-15.00829317454219
23,9,5,0.050540924,0.112169266,0.16994613,10.239989,-10.6976595,0.1617396,18.8,21.111609,True,1690471378.75667,31.55886154005743,-1.032153319059696,0.0,0.0156399035484836,6.930292523522593,-0.8111031408975572,-1.2766702701690402,41.9649017232146,-11.568358575440165
23,12,5,0.13365078,0.106744766,0.24480252,-1.9583578,-20.625616,-0.374478,7.6,5.5946403,True,1690471378.75667,31.55886154005743,-1.032153319059696,0.0,0.0156399035484836,6.930292523522593,-0.8111031408975572,-1.2766702701690402,29.923312742835947,-21.685874068217323
23,15,5,0.08218765,0.057082176,0.18119422,-8.011812,-12.432127,-0.27079135,3.8,1.7888544,True,1690471378.75667,31.55886154005743,-1.032153319059696,0.0,0.0156399035484836,6.930292523522593,-0.8111031408975572,-1.2766702701690402,23.74245873156938,-13.588058718628979
24,1,5,0.13719463,0.2249422,0.22538027,11.375979,-13.716723,0.0064947726,8.8,5.1185937,True,1690471379.316669,19.711485048822972,19.583065105819077,0.0,0.7561671506750354,9.799532877988115,-0.4515328417472713,-1.036686987294635,37.398749970244225,17.410037801197454
24,4,5,0.09230709,0.059264183,0.17967525,-4.8730345,-14.117727,-0.13686247,17.4,17.126003,True,1690471379.316669,19.711485048822972,19.583065105819077,0.0,0.7561671506750354,9.799532877988115,-0.4515328417472713,-1.036686987294635,25.853204586968943,5.969249990302217
24,7,5,0.08252382,0.06754017,0.2657535,-7.577906,-12.00858,-0.1432809,5.0,2.1213202,True,1690471379.316669,19.711485048822972,19.583065105819077,0.0,0.7561671506750354,9.799532877988115,-0.4515328417472713,-1.036686987294635,22.438322102806836,5.64767804114604
25,5,5,0.2196455,0.19545841,0.107954204,8.918561,13.576437,0.5072137,7.8,6.8337398,True,1690471379.846695,5.586023940630435,24.65127357093824,0.0,1.120780733387922,12.833803977303663,-0.0979466028079841,-0.3009260636571344,-2.7593554570867997,38.58737828616791
25,6,6,0.06907177,0.11086941,0.166026,9.175057,9.449891,0.50369275,17.666666,15.357951,True,1690471379.846695,5.586023940630435,24.65127357093824,0.0,1.120780733387922,12.833803977303663,-0.0979466028079841,-0.3009260636571344,1.0679234632918408,37.02337440070045
25,9,5,0.09053993,0.10480499,0.16748065,14.218721,-11.635172,0.28475234,9.0,4.527693,True,1690471379.846695,5.586023940630435,24.65127357093824,0.0,1.120780733387922,12.833803977303663,-0.0979466028079841,-0.3009260636571344,22.2476551544723,32.393321080438255
25,17,6,0.119645596,0.08417797,0.2255038,-5.3040266,-15.631839,-0.02678986,8.666667,4.131182,True,1690471379.846695,5.586023940630435,24.65127357093824,0.0,1.120780733387922,12.833803977303663,-0.0979466028079841,-0.3009260636571344,17.35441880971765,13.075783477613022
25,18,5,0.10112381,0.107105255,0.23206481,-4.982244,-12.140602,-0.0067598172,7.0,4.84768,True,1690471379.846695,5.586023940630435,24.65127357093824,0.0,1.120780733387922,12.833803977303663,-0.0979466028079841,-0.3009260636571344,14.350737108090032,14.884146291635474
26,8,7,0.098543644,0.15027428,0.23434025,7.015338,10.249511,0.35433665,8.142858,4.450789,True,1690471380.376922,1.414531722878828,24.422647967691873,0.0,1.0496760371820215,9.343495078663093,0.3579365956120962,0.4539746099381284,-3.9818792409422628,35.60952383644614
26,11,6,0.06949425,0.087263584,0.2165274,12.875636,-6.173899,0.42632163,5.1666665,4.2150526,True,1690471380.376922,1.414531722878828,24.422647967691873,0.0,1.0496760371820215,9.343495078663093,0.3579365956120962,0.4539746099381284,13.179081208258367,32.51550943152238
26,12,7,0.07969856,0.16111231,0.21815103,10.351889,-7.2453575,0.35245296,9.714286,7.521398,True,1690471380.376922,1.414531722878828,24.422647967691873,0.0,1.0496760371820215,9.343495078663093,0.3579365956120962,0.4539746099381284,12.851863855523696,29.79333180298663
26,14,6,0.12343836,0.11255264,0.25436938,7.51846,-12.385518,0.25280607,16.5,11.344603,True,1690471380.376922,1.414531722878828,24.422647967691873,0.0,1.0496760371820215,9.343495078663093,0.3579365956120962,0.4539746099381284,15.899101264163416,24.77696717915914
27,7,5,0.05274582,0.12554413,0.2182118,18.939892,-1.0710663,0.318468,13.2,7.5960517,True,1690471380.957253,7.158444527530356,22.13171448485666,0.0,0.6173056790713389,6.794399201541027,0.766341967880071,1.143024595756593,23.222785157251856,32.22149407228763
27,14,9,0.18379605,0.12784863,0.25236306,1.7398885,-13.876972,0.06946942,15.222222,9.743944,True,1690471380.957253,7.158444527530356,22.13171448485666,0.0,0.6173056790713389,6.794399201541027,0.766341967880071,1.143024595756593,16.609770248382123,11.822980032966743
28,9,8,0.086585045,0.10058069,0.22982998,12.2695265,-5.8411226,0.33101934,4.875,5.055054,True,1690471381.516859,16.826915873658724,11.37738344834907,0.0,-0.1626897210759236,8.194151308460777,1.0014713909956496,1.5856397594614595,27.98832151205711,3.626059823473004
29,6,6,0.13273239,0.18682444,0.1909666,15.632175,1.2913574,0.52356553,12.833333,11.6518955,True,1690471382.056936,15.7409651060402,-2.207499470403721,0.0,-0.9045387117787418,8.029879495342643,0.7735722327689694,1.1282075795353346,26.417591909712762,-13.698458493055417
29,8,5,0.11593056,0.20174265,0.124720216,18.010344,-7.9250536,0.59933233,17.4,16.697306,True,1690471382.056936,15.7409651060402,-2.207499470403721,0.0,-0.9045387117787418,8.029879495342643,0.7735722327689694,1.1282075795353346,20.64202454075084,-21.264219596874664
29,10,5,0.09055519,0.08983612,0.19643462,8.891761,-13.018957,0.41969824,5.4,4.97996,True,1690471382.056936,15.7409651060402,-2.207499470403721,0.0,-0.9045387117787418,8.029879495342643,0.7735722327689694,1.1282075795353346,11.001778042358838,-17.24401372818319
29,14,6,0.10396242,0.11793232,0.2053178,-4.9348454,-14.988227,0.12078408,11.5,5.75326,True,1690471382.056936,15.7409651060402,-2.207499470403721,0.0,-0.9045387117787418,8.029879495342643,0.7735722327689694,1.1282075795353346,0.9081455050949394,-7.591467376255712
29,15,5,0.12869549,0.06248474,0.21371077,-6.741187,-15.12771,0.04682087,9.0,4.84768,True,1690471382.056936,15.7409651060402,-2.207499470403721,0.0,-0.9045387117787418,8.029879495342643,0.7735722327689694,1.1282075795353346,-0.3179140042272959,-6.25763696620349
30,8,5,0.1316309,0.1437378,0.20492946,-5.6471167,-15.017685,0.04711582,6.4,4.560702,True,1690471382.616944,6.312973689187792,-10.849433989228592,0.0,-1.5808444854433874,8.999527498007275,0.2069926075122489,0.3761979407635554,-8.647211013548535,-5.051704826646235
30,11,6,0.1279583,0.15048599,0.27785116,-4.461759,13.343399,0.14337553,4.5,3.563706,True,1690471382.616944,6.312973689187792,-10.849433989228592,0.0,-1.5808444854433874,8.999527498007275,0.2069926075122489,0.3761979407635554,19.700530791296604,-6.521974563068958
30,13,6,0.08789253,0.07237148,0.18572454,4.383418,14.0355215,0.28945333,15.5,6.348228,True,1690471382.616944,6.312973689187792,-10.849433989228592,0.0,-1.5808444854433874,8.999527498007275,0.2069926075122489,0.3761979407635554,20.303742105166098,-15.37365947765754
35,16,6,0.09286213,0.10859156,0.20124635,14.609569,-7.3916583,0.3577261,12.0,5.7271285,True,1690471385.437487,-12.66534143189038,-1.539636273540524,0.0,0.1822031976533841,12.095770592329108,-0.326159027572249,-0.4853434285844926,3.0417378220523803,-6.16173321108747
35,19,6,0.07986832,0.09056568,0.24088827,11.27908,-8.213031,0.28852803,8.166667,6.1128283,True,1690471385.437487,-12.66534143189038,-1.539636273540524,0.0,0.1822031976533841,12.095770592329108,-0.326159027572249,-0.4853434285844926,-0.08479109808401097,-7.5729833671466515
35,23,5,0.08126128,0.07426739,0.23118456,0.8244899,-12.924466,-0.034799997,11.2,4.7644515,True,1690471385.437487,-12.66534143189038,-1.539636273540524,0.0,0.1822031976533841,12.095770592329108,-0.326159027572249,-0.4853434285844926,-9.512628326168986,-14.100766997061022
35,24,7,0.14241421,0.056037903,0.2262027,-1.9353142,-11.44727,-0.11534597,9.571428,8.657504,True,1690471385.437487,-12.66534143189038,-1.539636273540524,0.0,0.1822031976533841,12.095770592329108,-0.326159027572249,-0.4853434285844926,-12.494412122372662,-13.148090721776493
35,25,5,0.14170456,0.10235405,0.2082279,-7.9838233,-14.445752,-0.3779605,2.8,0.4472136,True,1690471385.437487,-12.66534143189038,-1.539636273540524,0.0,0.1822031976533841,12.095770592329108,-0.326159027572249,-0.4853434285844926,-17.899484290112987,-17.192908579063232
36,10,5,0.10411072,0.14687634,0.18309306,12.516687,-10.310371,0.22624259,6.2,2.8635643,True,1690471386.037405,-17.43046092265695,-8.522204038853157,0.0,0.6425968893229363,12.45052797826328,-0.5094790002824454,-0.9372698040642886,-1.2315629163647088,-9.275136303636177
36,11,6,0.08980274,0.09720039,0.17767751,3.0809405,-13.659364,0.011595962,6.3333335,6.121002,True,1690471386.037405,-17.43046092265695,-8.522204038853157,0.0,0.6425968893229363,12.45052797826328,-0.5094790002824454,-0.9372698040642886,-6.7783038220388985,-17.610766540854712
36,13,5,0.09197235,0.060890198,0.23874289,-3.4188294,-12.647311,-0.102733694,8.4,5.4129477,True,1690471386.037405,-17.43046092265695,-8.522204038853157,0.0,0.6425968893229363,12.45052797826328,-0.5094790002824454,-0.9372698040642886,-12.58814340437559,-20.695733972655056
37,7,5,0.14925098,0.21879578,0.14891297,15.71127,-7.9460325,0.31107575,9.6,7.1972218,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-4.1644334745782015,-6.275526738185036
37,8,6,0.07791233,0.07375193,0.2223233,11.34381,-6.4943376,0.21658249,8.5,5.8223705,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-7.386632769631562,-9.561794627028496
37,10,6,0.10379791,0.10235691,0.24417536,11.55203,-8.257369,0.16317362,6.6666665,3.9327683,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-5.711262467609537,-10.148965502403456
37,12,5,0.053399086,0.13794899,0.25830573,10.992252,-9.786837,0.12593104,5.0,4.2426405,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-4.582996232813823,-11.32354588523296
37,13,5,0.111866,0.060560226,0.21935926,10.203064,-14.449534,-0.065927945,11.6,6.503845,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-0.7405425262157976,-14.080194307829515
37,14,5,0.107709885,0.065410614,0.20449647,4.85205,-15.415922,-0.22565123,16.6,11.631853,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-2.2222345075115424,-19.31200522445331
37,15,6,0.10792947,0.15842915,0.20003223,2.1270921,-15.659446,-0.24959546,15.0,11.366618,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-3.200119564302719,-21.867086497339344
37,17,5,0.15191996,0.09088993,0.23377442,-0.9929239,-12.852496,-0.26547223,11.2,5.263079,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-7.092080222519064,-23.43747192061994
37,19,5,0.10801053,0.071718216,0.20448577,-1.9248146,-18.014256,-0.4632183,15.2,8.58487,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-2.8639300364227545,-26.54149069926163
37,20,6,0.09829545,0.081199646,0.18902318,-3.8354056,-14.236388,-0.31037146,4.1666665,3.060501,True,1690471386.587484,-18.20288383761088,-16.901219605411338,0.0,1.1161419857710235,12.30114449047515,-0.4781679830562411,-0.9124713497762824,-7.097054769551516,-26.598932743780765
38,13,8,0.11627102,0.12358379,0.23121291,8.220931,-10.609365,0.22651955,13.5,8.383657,True,1690471387.127627,-17.188373525886266,-23.575523111521683,0.0,1.5040358738084638,12.005522627178738,-0.248077077833237,-0.526610879079066,-6.0542170128059976,-16.080665477635748
38,15,7,0.18185246,0.08346653,0.2815222,1.1822709,-14.743247,-0.18787482,19.714285,13.474844,True,1690471387.127627,-17.188373525886266,-23.575523111521683,0.0,1.5040358738084638,12.005522627178738,-0.248077077833237,-0.526610879079066,-2.3990990184515706,-23.37942077156104
38,16,11,0.21003135,0.09179497,0.27843815,0.11736605,-11.370397,-0.086833194,8.090909,6.518505,True,1690471387.127627,-17.188373525886266,-23.575523111521683,0.0,1.5040358738084638,12.005522627178738,-0.248077077833237,-0.526610879079066,-5.835476215957639,-24.216947618004696
39,3,6,0.13037527,0.097141266,0.21860166,-1.3152032,-16.503328,-0.12876265,22.5,14.432602,True,1690471387.677544,-14.757796072261897,-28.183945272670172,0.0,1.7898264439873213,7.348864755722267,-0.4898649063719339,-0.6705846414625805,1.6370164162405612,-25.881833633388084
39,13,8,0.08902955,0.07407379,0.22817442,2.3655012,-12.65981,0.031057104,19.875,16.923674,True,1690471387.677544,-14.757796072261897,-28.183945272670172,0.0,1.7898264439873213,7.348864755722267,-0.4898649063719339,-0.6705846414625805,-2.914429287473279,-23.12419741687072
40,15,5,0.18205547,0.17160606,0.22188607,7.582049,-17.366924,-0.07855481,13.0,9.300538,True,1690471388.247528,0.1916811177820762,-32.33743346214774,0.0,2.3921890315926255,6.483002910849343,-0.9649375338304188,-1.6083688033440615,6.471287186605181,-14.458281807760528
40,17,5,0.10603809,0.1855011,0.21081947,6.025617,-17.164185,-0.06200268,14.8,13.881642,True,1690471388.247528,0.1916811177820762,-32.33743346214774,0.0,2.3921890315926255,6.483002910849343,-0.9649375338304188,-1.6083688033440615,7.472637397397778,-15.666951087626044
41,2,5,0.058493614,0.08640385,0.16261649,13.1062975,-7.6988535,0.28671747,16.4,6.1886992,True,1690471388.797572,20.67814748303747,-22.11668092314646,0.0,-3.0435340839935927,7.876798751524704,-0.8867631715644045,-1.7265766651891532,6.881081905987513,-15.737938034806188
41,17,5,0.10879183,0.1632595,0.2232301,-4.0949545,-17.356396,-0.26015502,16.6,11.949896,True,1690471388.797572,20.67814748303747,-22.11668092314646,0.0,-3.0435340839935927,7.876798751524704,-0.8867631715644045,-1.7265766651891532,23.05421309568616,-4.442760965472253
42,23,5,0.105247974,0.083496094,0.2100307,7.4630575,-16.56373,-0.0047345487,8.6,4.5055523,True,1690471389.427703,24.621038970149005,-2.2935915198745227,0.0,-2.259951290855947,11.339349673517622,-0.2487658019162394,-0.5525783178229352,7.0917752057457975,2.4791739928221688
43,13,5,0.110194206,0.05964756,0.21313483,7.8992896,-15.063013,0.42805272,11.2,7.6615925,True,1690471390.047593,18.09772363553792,-2.400623822342129,0.0,-2.2782729240916098,7.776757335089203,0.5928846551628383,0.9098088731544814,1.5158781448438816,1.385606089534189
43,14,6,0.14916992,0.16488266,0.24958223,6.174595,-11.666406,0.37399638,8.333333,5.8537736,True,1690471390.047593,18.09772363553792,-2.400623822342129,0.0,-2.2782729240916098,7.776757335089203,0.5928846551628383,0.9098088731544814,5.218224209735256,0.48886521754188017
43,22,6,0.1120975,0.073755264,0.19557877,-3.031722,-16.206398,0.028465534,12.5,8.093207,True,1690471390.047593,18.09772363553792,-2.400623822342129,0.0,-2.2782729240916098,7.776757335089203,0.5928846551628383,0.9098088731544814,7.751162322328199,10.436328441013838
44,14,6,0.08790636,0.08150005,0.23725463,5.008084,-11.580318,0.32221684,9.166667,4.4907312,True,1690471390.607695,9.299268356430389,-12.221140021388036,0.0,-2.922792639845257,7.1817497949152065,1.001905035431394,1.5043496758689268,1.8969786662195625,-2.0039595064720697
